Location,Time,Race,Two or More Races,Family Income - Rate (Dollars per Capita),Family Income - Rate (Dollars per Capita) - Error,Family Income - Median (Dollars),Family Income - Median (Dollars) - Error,Total Population: by Race - Number (People),Total Population: by Race - Number (People) - Error
New York,2010,Two or more races,All,,,,,513388,8447.929965347437
New York,2010,Two or more races,Two races excluding Some other race, and three or more races,,,,,369649,8630.919812754575
New York,2010,Two or more races,Two races including Some other race,,,,,143739,5457.474618517843
New York,2010,White,All,,,,,12775673,16210.103957687397
New York,2010-2014,All,All,32829,82.07185847163962,71419,170.2231138671044,19594330,
New York,2010-2014,American Indian and Alaskan Native,All,,,,,74572,1468.1743571037753
New York,2010-2014,Asian,All,,,,,1522549,2603.8057024743143
New York,2010-2014,Black or African-American,All,,,,,3060048,4129.126390662046
New York,2010-2014,Native Hawaiian and other Pacific Islander,All,,,,,6258,409.75135266581555
New York,2010-2014,Other Race,All,,,,,1649123,11549.638275883031
New York,2010-2014,Two or more races,All,,,,,548262,5802.1764240987295
New York,2010-2014,Two or more races,Two races excluding Some other race, and three or more races,,,,,393211,4176.545686667882
New York,2010-2014,Two or more races,Two races including Some other race,,,,,155051,3606.9061949054653
New York,2010-2014,White,All,,,,,12733518,9510.000607939692
New York,2011,All,All,,,,,19465197,
New York,2011,American Indian and Alaskan Native,All,,,,,67731,2848.1974588120856
New York,2011,Asian,All,,,,,1447760,5912.2135084199645
New York,2011,Black or African-American,All,,,,,3036099,9838.28804182625
New York,2011,Native Hawaiian and other Pacific Islander,All,,,,,5562,1541.7350598820597
New York,2011,Other Race,All,,,,,1670880,19995.744422153322
New York,2011,Two or more races,All,,,,,526783,10317.344519423674
New York,2011,Two or more races,Two races excluding Some other race, and three or more races,,,,,365327,7591.950878472855
New York,2011,Two or more races,Two races including Some other race,,,,,161456,7508.663140616451
New York,2011,White,All,,,,,12710382,18142.744239771415
New York,2011-2015,All,All,33236,78.42422031734452,71913,184.20572679190224,19673174,
New York,2011-2015,American Indian and Alaskan Native,All,,,,,74793,1817.7396802237217
New York,2011-2015,Asian,All,,,,,1570223,2336.92017751839
New York,2011-2015,Black or African-American,All,,,,,3070392,4892.698644294486
New York,2011-2015,Native Hawaiian and other Pacific Islander,All,,,,,6485,379.3543680466898
New York,2011-2015,Other Race,All,,,,,1685765,11406.164508480759
New York,2011-2015,Two or more races,All,,,,,560879,5416.742659128215
New York,2011-2015,Two or more races,Two races excluding Some other race, and three or more races,,,,,407801,4504.225180862059
New York,2011-2015,Two or more races,Two races including Some other race,,,,,153078,3080.430421302207
New York,2011-2015,White,All,,,,,12704637,9773.846434433704
New York,2012,All,All,,,,,19570261,
New York,2012,American Indian and Alaskan Native,All,,,,,73392,3509.0279044318804
New York,2012,Asian,All,,,,,1498346,4916.408292297404
New York,2012,Black or African-American,All,,,,,3046610,9425.496990698522
New York,2012,Native Hawaiian and other Pacific Islander,All,,,,,7456,1744.78691713782
New York,2012,Other Race,All,,,,,1644049,17781.6280624962
New York,2012,Two or more races,All,,,,,533012,9892.394674448295
New York,2012,Two or more races,Two races excluding Some other race, and three or more races,,,,,376878,7489.817010152593
New York,2012,Two or more races,Two races including Some other race,,,,,156134,5814.943157638762
New York,2012,White,All,,,,,12767396,18960.423126025897
New York,2012-2016,All,All,34212,87.54331570308226,74036,212.77889233388046,19697457,
New York,2012-2016,American Indian and Alaskan Native,All,,,,,75751,1584.2908383488357
New York,2012-2016,Asian,All,,,,,1599216,2710.195148641255
New York,2012-2016,Black or African-American,All,,,,,3073278,4559.547692868868
New York,2012-2016,Native Hawaiian and other Pacific Islander,All,,,,,7528,396.98461912578273
New York,2012-2016,Other Race,All,,,,,1697831,11895.555960848684
New York,2012-2016,Two or more races,All,,,,,576440,5691.531400085111
New York,2012-2016,Two or more races,Two races excluding Some other race, and three or more races,,,,,426242,4555.900054714572
New York,2012-2016,Two or more races,Two races including Some other race,,,,,150198,2997.7506231381844
New York,2012-2016,White,All,,,,,12667413,9384.765031308894
New York,2013,All,All,,,,,19651127,
New York,2013,American Indian and Alaskan Native,All,,,,,73231,3321.174539485683
New York,2013,Asian,All,,,,,1554980,5593.0451699191435
New York,2013,Black or African-American,All,,,,,3079582,10241.959997568241
New York,2013,Native Hawaiian and other Pacific Islander,All,,,,,9962,1827.466715301842
New York,2013,Other Race,All,,,,,1673398,19137.941516201594
New York,2013,Two or more races,All,,,,,564694,12169.128822420817
New York,2013,Two or more races,Two races excluding Some other race, and three or more races,,,,,412010,9431.576387622348
New York,2013,Two or more races,Two races including Some other race,,,,,152684,6998.60173870752
New York,2013,White,All,,,,,12695280,17508.055200924067
New York,2013-2017,All,All,35752,94.83859201167245,77141,210.3471335643504,19798228,
New York,2013-2017,American Indian and Alaskan Native,All,,,,,77130,1617.727521429874
New York,2013-2017,Asian,All,,,,,1652846,2176.424098729406
New York,2013-2017,Black or African-American,All,,,,,3100685,5293.3309015745635
New York,2013-2017,Native Hawaiian and other Pacific Islander,All,,,,,7937,480.2723569821874
New York,2013-2017,Other Race,All,,,,,1730813,11804.972946683689
New York,2013-2017,Two or more races,All,,,,,590026,5793.665268405374
New York,2013-2017,Two or more races,Two races excluding Some other race, and three or more races,,,,,441268,5013.070703386224
New York,2013-2017,Two or more races,Two races including Some other race,,,,,148758,2806.8575597300746
New York,2013-2017,White,All,,,,,12638791,9686.303118730622
New York,2014,All,All,,,,,19746227,
